,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
0,ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
1,ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
2,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
5,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230
6,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
7,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255
8,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
9,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
10,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225
11,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
20,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
31,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
32,AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
34,AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
35,AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288
36,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363
37,AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
38,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242
39,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239
40,AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258
41,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244
42,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212
43,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304
44,AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290
45,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
46,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
47,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
48,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
49,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
50,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
51,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
52,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
53,AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
54,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
55,AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293
56,AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
57,AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
58,AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
59,AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
60,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267
61,AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
62,AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
63,AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300
64,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292
65,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209
66,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209
67,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237
68,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237
69,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314
70,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356
71,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332
72,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
74,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388
75,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437
76,BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
77,BMW,320i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
78,BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202
79,BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181
80,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181
81,BMW,328i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
82,BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
83,BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
84,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
85,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
86,BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
87,BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
88,BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
89,BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
90,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
91,BMW,428i COUPE,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
92,BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
93,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
94,BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
95,BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
96,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
97,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
98,BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202
99,BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
100,BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213
101,BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
102,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
103,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
104,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
105,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232
106,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
107,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
108,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
109,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
110,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
111,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
112,BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356
113,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191
114,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214
115,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212
116,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
117,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
118,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
119,BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317
120,BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
121,BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
122,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
123,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
124,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
125,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
126,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
127,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260
128,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230
129,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253
130,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255
131,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
132,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
133,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274
134,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
135,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209
136,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200
137,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
138,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253
139,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
140,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
141,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
142,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
143,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212
144,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
145,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250
146,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
147,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264
148,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
149,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
150,BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225
151,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246
152,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
153,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
154,BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225
155,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
156,CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221
157,CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235
158,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207
159,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
160,CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232
161,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260
162,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
163,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262
164,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232
165,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
166,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248
167,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260
168,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
169,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
171,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255
172,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262
173,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
